Ship to,Ship to ID,Distribution Cost
Northstar Manufacturing BV - Rotterdam Plant,SHIP-001-NL,11.5
Northstar Manufacturing BV - Antwerp DC,SHIP-001-BE,12.88
HelioPack GmbH - Hamburg Site,SHIP-014-DE,18.2
HelioPack GmbH - Poznan Warehouse,SHIP-014-PL,22.1
Atlas Components SA - Lyon Warehouse,SHIP-027-FR,34.25
Atlas Components SA - Antwerp DC,SHIP-027-BE,22.61
Baltic Industrial Group - Kaunas Plant,SHIP-038-LT,41400.0
Baltic Industrial Group - Tallinn Hub,SHIP-038-EE,44850.0
Iberia Consumer Goods SL - Valencia Site,SHIP-052-ES,203.0
Iberia Consumer Goods SL - Porto DC,SHIP-052-PT,191.4
Nordic Materials AB - Malmo Plant,SHIP-073-SE,18.22
Nordic Materials AB - Aarhus Hub,SHIP-073-DK,15.82
