Ship to,Ship to ID,Distribution Cost
Northstar Manufacturing BV - Rotterdam Plant,SHIP-001-NL,12.50
Northstar Manufacturing BV - Antwerp DC,SHIP-001-BE,14.00
HelioPack GmbH - Hamburg Site,SHIP-014-DE,18.20
HelioPack GmbH - Poznan Warehouse,SHIP-014-PL,22.10
Atlas Components SA - Lyon Warehouse,SHIP-027-FR,25.00
Atlas Components SA - Antwerp DC,SHIP-027-BE,16.50
Baltic Industrial Group - Kaunas Plant,SHIP-038-LT,30.00
Baltic Industrial Group - Tallinn Hub,SHIP-038-EE,32.50
Iberia Consumer Goods SL - Valencia Site,SHIP-052-ES,28.00
Iberia Consumer Goods SL - Porto DC,SHIP-052-PT,26.40
Nordic Materials AB - Malmo Plant,SHIP-073-SE,19.80
Nordic Materials AB - Aarhus Hub,SHIP-073-DK,17.20
